TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2016,2,12,14.0,56.0,5XX BEATTY ST,Central Business District,492051.85,5458656.97
Theft from Vehicle,2016,3,17,17.0,0.0,1XX GORE AVE,Strathcona,492889.8,5459034.92
Theft from Vehicle,2016,1,15,18.0,30.0,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Theft from Vehicle,2016,1,24,19.0,30.0,1XX GORE AVE,Strathcona,492889.8,5459034.92
Theft from Vehicle,2016,1,29,11.0,0.0,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Vehicle Collision or Pedestrian Struck (with Injury),2016,9,13,18.0,10.0,W 72ND AVE / HUDSON ST,Marpole,490189.0,5450332.0
Mischief,2016,3,10,12.0,16.0,5XX BEATTY ST,Central Business District,491982.33,5458586.57
Theft from Vehicle,2016,2,7,11.0,30.0,1XX E KING EDWARD AVE,Riley Park,492525.76,5455114.55
Mischief,2016,5,3,17.0,0.0,40XX W 13TH AVE,West Point Grey,485734.61,5456483.28
Other Theft,2016,5,10,17.0,9.0,6XX GRANVILLE ST,Central Business District,491444.61,5458895.1
Theft from Vehicle,2016,1,12,18.0,0.0,24XX W 35TH AVE,Arbutus Ridge,488201.49,5454192.55
Theft from Vehicle,2016,2,11,20.0,0.0,24XX W 34TH AVE,Arbutus Ridge,488272.36,5454296.37
Theft from Vehicle,2016,4,9,14.0,9.0,1XX E HASTINGS ST,Central Business District,492674.89,5458735.3
Theft from Vehicle,2016,9,25,20.0,0.0,SALT ST / W 1ST AVE,Mount Pleasant,492281.77,5457508.57
Theft from Vehicle,2016,3,10,19.0,30.0,E BROADWAY AVE / KINGSWAY AVE,Mount Pleasant,492749.52,5456683.8
Theft from Vehicle,2016,4,26,20.0,30.0,E BROADWAY AVE / KINGSWAY AVE,Mount Pleasant,492749.52,5456683.8
Theft from Vehicle,2016,12,15,13.0,50.0,E BROADWAY AVE / KINGSWAY AVE,Mount Pleasant,492749.52,5456683.8
Theft from Vehicle,2016,12,30,16.0,30.0,1XX JACKSON AVE,Strathcona,493218.71,5459025.2
Theft from Vehicle,2016,1,13,18.0,0.0,1XX E HASTINGS ST,Central Business District,492637.03,5458736.57
Theft from Vehicle,2016,9,16,16.0,30.0,1XX E HASTINGS ST,Central Business District,492577.5,5458738.55
Theft from Vehicle,2016,2,2,12.0,14.0,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Mischief,2016,4,27,22.0,30.0,40XX W 11TH AVE,West Point Grey,485791.94,5456672.86
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,19,15.0,32.0,W 7TH AVE / GRANVILLE ST,Fairview,489923.0,5456962.0
Theft from Vehicle,2016,10,25,15.0,15.0,1XX E HASTINGS ST,Central Business District,492571.65,5458738.74
Theft from Vehicle,2016,2,9,0.0,0.0,24XX W 2ND AVE,Kitsilano,488360.62,5457489.72
Mischief,2016,9,27,5.0,38.0,5XX BEACH CRES,Central Business District,490657.08,5457830.75
Theft from Vehicle,2016,8,14,16.0,30.0,1XX E HASTINGS ST,Central Business District,492571.65,5458738.74
Theft from Vehicle,2016,6,12,12.0,0.0,1XX E HASTINGS ST,Central Business District,492571.65,5458738.74
Mischief,2016,2,6,3.0,34.0,20XX MACDONALD ST,Kitsilano,487753.13,5457299.78
Theft from Vehicle,2016,2,13,20.0,18.0,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Theft from Vehicle,2016,5,17,9.0,0.0,1XX E HASTINGS ST,Central Business District,492571.65,5458738.74
Theft from Vehicle,2016,5,8,4.0,27.0,1XX E HASTINGS ST,Central Business District,492571.65,5458738.74
Theft from Vehicle,2016,2,14,14.0,0.0,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Theft from Vehicle,2016,2,17,13.0,0.0,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Mischief,2016,4,7,1.0,44.0,40XX THELLAIWHALTUN AVE,Musqueam,485726.1,5452760.91
Other Theft,2016,9,8,10.0,28.0,10XX CANADA PL,Central Business District,491571.59,5459498.79
Other Theft,2016,5,10,12.0,47.0,10XX COMMERCIAL DR,Grandview-Woodland,494937.27,5458065.04
Theft from Vehicle,2016,2,19,8.0,0.0,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Theft from Vehicle,2016,2,22,9.0,0.0,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Other Theft,2016,4,23,18.0,47.0,9XX GRANVILLE ST,Central Business District,491093.23,5458542.47
Other Theft,2016,11,17,9.0,13.0,10XX DAVIE ST,West End,490467.12,5458629.87
Theft from Vehicle,2016,12,14,1.0,36.0,1XX E HASTINGS ST,Central Business District,492566.5,5458738.91
Other Theft,2016,4,10,15.0,45.0,9XX GRANVILLE ST,Central Business District,491093.23,5458542.47
Break and Enter Residential/Other,2016,2,9,5.0,8.0,16XX FRANKLIN ST,Grandview-Woodland,494833.93,5458824.33
Other Theft,2016,4,7,19.0,22.0,9XX GRANVILLE ST,Central Business District,491093.23,5458542.47
Vehicle Collision or Pedestrian Struck (with Injury),2016,6,15,17.0,37.0,W 8TH AVE / DUNBAR ST,Kitsilano,486631.0,5456954.0
Vehicle Collision or Pedestrian Struck (with Injury),2016,12,19,14.0,57.0,W 8TH AVE / FIR ST,Fairview,489735.0,5456875.0
